Serial Number,Name,Date,Type,Latitude,Longitude,Number of heroes in panel,Biological sex,Transport to Heaven,Religion,Caste,Class,Left-/right-handedness,Elaborateness of carving,Number of registers on hero-stone,Inscribed or not
83,Bengaluru Sarakki1,14th-15th Century,Sati,12.911321,77.579994,6 (1M; 5F),"M, F (dress, anatomy)",Transportation not shown -- worshipping god in heaven,Hindu -- is the god Lord Shiva???,Unclear,"Poor - no jewels, horses, parasols","Unclear, unclear, unclear, unclear, unclear, unclear",Elaborately carved,2,Not inscribed
84,Bengaluru Shikaripalya1,16th-17th Century,Skirmish,12.833829,77.655336,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Poorly carved,1,Not inscribed
85,Bengaluru Srinivagilu1,8th-9th Century,Cattle Raiding,12.932406,77.640507,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,2,Inscribed
86,Bengaluru T Dasarahalli 1,8th-9th Century,Cattle Raiding,13.0427465,77.50988885,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear,Moderately elaborate,1,Inscribed
87,Bengaluru T Dasarahalli 2,8th-9th Century,Cattle Raiding,13.0421009,77.5098781,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Moderately elaborate,1,Inscribed
88,Bhaktipura1,15th-16th Century,Sati (Veera Masti),12.753772,77.761181,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Moderately elaborate,1,Not inscribed
89,Bhaktipura2,14th-15th Century,Unclear Cause,12.751964,77.763131,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",RH,Poorly carved,1,Not inscribed
90,Bheemanaguppe1,13th-14th Century,Skirmish,12.895492,77.435632,2 (1M; 1F),"M (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Dvija (caste thread),Moderately rich??? -- jewels,RH,Moderately elaborate,2,Not inscribed
91,Bidaraguppe1,14th-15th Century,Unclear Cause,12.803323,77.788443,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Unclear; unclear,Moderately elaborate,1,Not inscribed
92,Bidaraguppe2,14th-15th Century,Unclear Cause,12.80332,77.78844,"4 (2M, 2F)","M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)","Unclear, unclear, unclear, unclear",Moderately elaborate,1,Not inscribed
93,Bidaraguppe3,14th-15th Century,Unclear Cause,12.80332,77.78843,2 (2M),"M(dress, anatomy)",Not transported,Unclear,Unclear,Unclear,Unclear,Poorly carved,1,Not inscribed
94,Bidaraguppe4,14th-15th Century,Sati,12.80332,77.78843,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,Unclear,Poorly carved,1,Not inscribed
95,Bidaraguppe5,14th-15th Century,Unclear Cause,12.80332,77.78843,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Not inscribed
96,Bidaraguppe6,14th-15th Century,Sati,12.800938,77.790458,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,Unclear,"RH, RH",Poorly carved,1,Not inscribed
97,Bikkanahalli1,13th-14th Century,Sati,12.836663,77.759621,"4 (1M, 3F)","M, F (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,"Hindu (worship of shivalinga, Nandi Bull)",Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)","M: RH; F: unclear, unclear, unclear",Moderately elaborate,2,Not inscribed
98,Bisanahalli1,8th-9th Century,Cattle Raiding,13.009935,77.814322,1,"M (dress, anatomy)",Transportation not shown -- flanked by apsaras in heaven,Unclear,Unclear,"Poor - no jewels, horses, parasols",Ambidextrous,Semi-moderate,1 (both noble action and heaven shown on same panel),Inscribed
99,Bommandahalli1,13th-14th Century,Sati,12.754273,77.63684,2 (1M; 1F),"M, F (dress, anatomy)",Carried by arms by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Dvija (caste thread),"Moderately wealthy (necklaces, armlets, anklets)","RH, RH",Elaborately carved,3,Not inscribed
100,Bommandahalli2,15th-16th Century,Unclear Cause,12.7542701,77.636839,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH,Poorly carved,1,Not inscribed
101,Bommenahalli1,15th-16th Century,Sati (Veera Masti),13.075613,77.7473258,3 (1M; 2F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH; RH,Moderately elaborate,1,Not inscribed
102,Byagadenahalli1,10th-11th Century,Unclear Cause,12.746963,77.710919,1,"M (dress, anatomy)",Carried by arms by apsaras,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",Ambidextrous,Moderately elaborate,2,Not inscribed
103,Byalalu1,13th-14th Century,Cattle Raiding,12.891629,77.376675,3 (1M; 2F),"M, F (dress, anatomy)",Palanquin carried by apsaras,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,Moderately rich??? -- jewels,RH; LH; unclear,Moderately elaborate,3,Not inscribed
104,Byregowdanahalli1,15th-16th Century,Sati (Veera Masti),13.062453,77.386346,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; unclear,Moderately elaborate,1,Not inscribed
105,Byregowdanahalli2,15th-16th Century,Sati (Veera Masti),13.062453,77.386346,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH;  RH,Semi-moderate,1,Not inscribed
106,Byregowdanahalli3,15th-16th Century,Sati (Veera Masti),13.062453,77.386346,2 (1M; 1F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; unclear,Semi-moderate,1,Not inscribed
107,Chikkabanavara1,15th-16th Century,Sati (Veera Masti),13.084016,77.502674,5 (1M; 4F),"M, F (dress, anatomy)",Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",F: RH; RH; RH; RH; M: Ambidextrous,Moderately elaborate,1,Not inscribed
108,Chikkahosahalli1,17th-18th Century,Sati,12.705242,77.646311,2 (2F),Female (dress and anatomy),Not transported,Unclear,Unclear,"Moderately wealthy (necklaces, armlets, anklets)",RH; RH,Moderately elaborate,1,Not inscribed
109,Chikkanahalli2,8th-9th Century,Unclear Cause,13.127854,77.912285,1,"M (dress, anatomy)",Not transported,Unclear,Unclear,"Poor - no jewels, horses, parasols",LH,Moderately elaborate,1,Inscribed
110,Cholanayakanahalli 1 (Magadi),13th-14th Century,Unclear Cause,12.9607097,77.359157,7 (1M; 6F),"M, F (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,"Poor - no jewels, horses, parasols",RH; RH; RH; RH; RH; RH; RH,Elaborately carved,,Not inscribed
111,Cholanayakanahalli 2 (Bengaluru South),13th-14th Century,Skirmish,12.960713,77.359152,1,"M (dress, anatomy)",Transportation not shown,"Hindu (worship of shivalinga, Nandi Bull)",Unclear,Moderately rich (jewels),RH,Elaborately carved,,Not inscribed
112,Cholanayakanahalli 2 (Magadi),13th-14th Century,Skirmish,12.9605215,77.35991249,1,"M (dress, anatomy)","Transportation not shown, but flanked by apsaras in heaven","Hindu (worship of shivalinga, Nandi Bull)",Unclear,Unclear,RH,Elaborately carved,,Not inscribed
