ID,Name,Date,Type,Latitude,Longitude
30,Banashankari1,10th-11th Century,Deer Hunting,12.927056,77.568081
31,Banaswadi1,13th-14th Century,Sati (Veera Masti),13.01318,77.365755
32,Bande Nallasandra,13th-14th Century,Sati,12.793971,77.651278
33,Bangalore at Central College Campus1,15th-16th Century,Unclear Cause,12.9731385,77.5820371
34,Bangalore at Central College Campus2,15th-16th Century,Sati (Veera Masti),12.9731385,77.5819808
35,Bangalore Chalukya Circle1,14th-15th Century,Sati,12.9828611,77.5869394
36,Bangalore University Kannada Department8,10th-11th Century,Tiger,12.944872,77.503342
37,Bangalore University1,15th-16th Century,Sati (Veera Masti),12.944658,77.503171
38,Bangalore University2,15th-16th Century,Sati (Veera Masti),12.944658,77.503171
39,Bangalore University3,15th-16th Century,Sati (Veera Masti),12.944658,77.503171
40,Bangalore University4,15th-16th Century,Sati (Veera Masti),12.944667,77.503131
41,Bangalore University5,15th-16th Century,Sati (Veera Masti),12.944876,77.503094
42,Bangalore University6,15th-16th Century,Sati (Veera Masti),12.944707,77.503176
43,Bangalore University7,14th-15th Century,Sati (Veera Masti),12.944878,77.503326
44,Bannerughatta1,13th-14th Century,Self Sacrifice,12.8136587,77.5797897
45,Bannerughatta10,10th-11th Century,Self Sacrifice,12.813753,77.579773
46,Bannerughatta11,14th-15th Century,Unclear Cause,12.8138003,77.5798084
47,Bannerughatta12,14th-15th Century,Skirmish,12.8137881,77.5798446
